,Currency_Name,Exchange_Rate,Investment_Rate
0,Argentine Peso,114.113015,0.008763
1,Australian Dollar,1.354372,0.738349
2,Bahraini Dinar,0.376000,2.659574
3,Botswana Pula,11.629413,0.085989
4,Brazilian Real,4.622429,0.216336
5,Bruneian Dollar,1.362559,0.733913
6,Bulgarian Lev,1.802291,0.554849
7,Canadian Dollar,1.251678,0.798928
8,Chilean Peso,817.280730,0.001224
9,Chinese Yuan Renminbi,6.449943,0.155040
10,Colombian Peso,3758.932021,0.000266
11,Croatian Kuna,6.968252,0.143508
12,Czech Koruna,22.455296,0.044533
13,Danish Krone,6.856712,0.145842
14,Euro,0.921497,1.085191
15,Hong Kong Dollar,7.844726,0.127474
16,Hungarian Forint,341.218448,0.002931
17,Icelandic Krona,128.100500,0.007806
18,Indian Rupee,76.214115,0.013121
19,Indonesian Rupiah,14352.961497,0.000070
20,Iranian Rial,42287.868086,0.000024
21,Israeli Shekel,3.243316,0.308326
22,Japanese Yen,128.550139,0.007779
23,Kazakhstani Tenge,443.644184,0.002254
24,South Korean Won,1241.646584,0.000805
25,Kuwaiti Dinar,0.305278,3.275705
26,Libyan Dinar,4.717966,0.211956
27,Malaysian Ringgit,4.290708,0.233062
28,Mauritian Rupee,43.049995,0.023229
29,Mexican Peso,20.160131,0.049603
30,Nepalese Rupee,121.999745,0.008197
31,New Zealand Dollar,1.482699,0.674446
32,Norwegian Krone,8.851114,0.112980
33,Omani Rial,0.384500,2.600780
34,Pakistani Rupee,187.058510,0.005346
35,Philippine Peso,52.368508,0.019095
36,Polish Zloty,4.269526,0.234218
37,Qatari Riyal,3.640000,0.274725
38,Romanian New Leu,4.556216,0.219480
39,Russian Ruble,80.476393,0.012426
40,Saudi Arabian Riyal,3.750000,0.266667
41,Singapore Dollar,1.362559,0.733913
42,South African Rand,15.391148,0.064972
43,Sri Lankan Rupee,334.949589,0.002986
44,Swedish Krona,9.478601,0.105501
45,Swiss Franc,0.951774,1.050670
46,Taiwan New Dollar,29.272911,0.034161
47,Thai Baht,33.885536,0.029511
48,Trinidadian Dollar,6.794195,0.147184
49,Turkish Lira,14.706767,0.067996
50,Emirati Dirham,3.672500,0.272294
51,British Pound,0.766323,1.304932
52,Venezuelan Bolivar,443949.107699,0.000002
